Namespace Id (1),Name,Description,Directory Namespace Id (2),XML Schema Namespace,Namespace Prefix (3),Logical Identifier   Prefix,Schema File Name Prefix (4),Governance Level,Registration   Authority,Steward Node Name,Steward Id,Steward Lead (6),Steward (Contact),Contact Email Address,Oversight  (5),Registration Date,Name of Provider,Dictionary Exists,Registered in PDS,Registration Date in PSA
emrsp_rm_wis,ExoMarsRSP ,Namespace for the ExoMarsRSP WISDOM Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/wis/v1,wis,urn:esa:psa,PDS4_PSA_EMRSP_RM_WIS,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_arm,ExoMarsRSP ,Namespace for the ExoMarsRSP ADRON_RM Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/arm/v1,arm,urn:esa:psa,PDS4_PSA_EMRSP_RM_ARM,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_mis,ExoMarsRSP ,Namespace for the ExoMarsRSP MaMISS Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/mis/v1,mis,urn:esa:psa,PDS4_PSA_EMRSP_RM_MIS,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_mic,ExoMarsRSP ,Namespace for the ExoMarsRSP MicrOmega Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/mic/v1,mic,urn:esa:psa,PDS4_PSA_EMRSP_RM_MIC,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_mom,ExoMarsRSP ,Namespace for the ExoMarsRSP MOMA Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/mom/v1,mom,urn:esa:psa,PDS4_PSA_EMRSP_RM_MOM,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
emrsp_rm_rls,ExoMarsRSP ,Namespace for the ExoMarsRSP RLS Instrument schema.,,https://psa.esa.int/psa/emrsp/rm/rls/v1,rls,urn:esa:psa,PDS4_PSA_EMRSP_RM_RLS,Mission,0001_ESA_PSA_1,emrsp,emrsp,emrsp,ExoMarsRSP Science Operations Centre,tlim at sciops.esa.int, ,2019-11-19,T. Lim,No,No,
Held For Future Use,,,,,,,,,,,,,,,,,,,,
dph,,Namespace for  the DPH Example products dictionary.,dph,http://pds.nasa.gov/pds4/dph/v1,dph,urn:nasa:pds:, ,Discipline,0001_NASA_PDS_1,Engineering,en,PDS EN Node,Steve Hughes,Steve.Hughes at jpl.nasa.gov, ,2016-05-17,R. Joyner,,,
geo,,Namespace for the Geosciences node's dictionary.,geo,http://pds.nasa.gov/pds4/geo/v1,geo,urn:nasa:pds:, ,Discipline,0001_NASA_PDS_1,Geosciences,geo,PDS GEO Node,Edward Guinness,guinness at wunder.wustl.edu, ,2012-04-03,S. Hughes,,,
naif,,Namespace for the NAIF node's dictionary.,naif,http://pds.nasa.gov/pds4/naif/v1,naif,urn:nasa:pds:, ,Discipline,0001_NASA_PDS_1,NAIF,naif,PDS NAIF Node,Boris Semenov,Boris.V.Semenov at jpl.nasa.gov, ,2012-04-03,S. Hughes,,,
